,Sr No,startup,vertical,city,investors,round,amount,year,state
27,28,Appbase,Technology,Pune,"Da-iict, Techstars, Carnegie mellon university, Startup brasil program",Seed Funding,2.39,2015,Maharashtra
28,29,Appedo,Technology,Bengaluru,Undisclosed investors,Seed Funding,8.25,2015,Karnataka
29,30,Applicate,Software,Bengaluru,"Rishi vasudev, Amit gupta, Rajiv nayan",Seed Funding,4.54,2015,Karnataka
30,31,Applied Solar Technologies,Energy,Mumbai,"Future fund, Bessemer venture, Capricorn investment and ifc",Private Equity,330.0,2015,Maharashtra
31,32,Applop,IT,Kolkata,Ghv accelerator,Seed Funding,0.83,2015,West Bengal
32,33,Appsdaily,Technology,Mumbai,"Zodius capital, Ru-net, Kalaari capital,  qualcomm ventures",Private Equity,132.0,2015,Maharashtra
33,34,Appvigil,Services,Mumbai,"Ravi gururaj, Gaurav sharma, Viswanath ramachandran, Ripplewave",Seed Funding,4.13,2015,Maharashtra
34,35,AppVirality,Marketing,Hyderabad,"Rajan anandan, Mike galgon, Ravi gururaj, Ashim mehra,  mohit saxena, Internet group, Tnn capital and others",Seed Funding,4.13,2015,Telangana
35,36,AppVirality,Marketing,Hyderabad,"Rajan anandan, Mike galgon, Ashim mehra, Mohit saxena, Ravi gururaj, Tnn capital & iig",Seed Funding,0.0,2015,Telangana
36,37,Arkin Net,Data Analytics,Pune,Nexus venture partners,Private Equity,123.75,2015,Maharashtra
37,38,Arohan Financial Services,FinTech,Kolkata,Tano capital,Private Equity,82.5,2015,West Bengal
38,39,Arth DesignBuild,Technology,Hyderabad,Srinivas tirupati,Seed Funding,4.13,2015,Telangana
39,40,Artoo,Technology,Bengaluru,"Accion venture labs, Rianta capital",Private Equity,4.13,2015,Karnataka
40,41,Arya.ai,AI,Mumbai,"Yournest angel fund, Venture nursery",Private Equity,6.19,2015,Maharashtra
41,42,Aryaka,Technology,Bengaluru,"Trinity ventures, Interwest partners, Mohr davidow ventures, Presidio ventures",Private Equity,132.0,2015,Karnataka
42,43,AskMyGift,Households,Noida,Turning ideas,Seed Funding,0.41,2015,Uttar Pradesh
43,44,Ather Energy,EV,Bengaluru,Tiger global,Private Equity,99.0,2015,Karnataka
44,45,Attune Technologies,Healthcare,Chennai,"Qualcomm venture, Norwest venture partners",Private Equity,82.5,2015,Tamil Nadu
45,46,Avanti Learning,Education,New Delhi,"Michael & susan dell foundation, Pearson learning fund",Private Equity,12.38,2015,Delhi
46,47,Awaaz De,Communication,Ahmedabad,Samir shah,Seed Funding,0.0,2015,Gujarat
47,48,Axtria,Data Analytics,Gurugram,"Helion venture partners, Amarpreet sawhney, Deshpande foundation, Fred khosravi, Richard s. braddock",Private Equity,247.5,2015,Haryana
48,49,Aye Finance,Finance,Gurugram,"Saif partners, Accion",Private Equity,24.75,2015,Haryana
49,50,Babajobs,Careers,Bengaluru,Seek ltd & affiliates,Private Equity,82.5,2015,Karnataka
50,51,BabyChakra,Consumer Internet,Mumbai,"Mumbai angels, Patni family office, Singapore angel network, Karan maheshwari, Jatin aneja, Kishor ganji, Roopa nath",Seed Funding,0.0,2015,Maharashtra
51,52,Banihal,Transportation,New Delhi,Dr david cheriton,Seed Funding,0.0,2015,Delhi
52,53,BankBazaar,FinTech,Chennai,"Amazon, Fidelity growth partners, Mousse partners",Private Equity,495.0,2015,Tamil Nadu
53,54,Baxi,Transportation,Gurugram,"Manish kheterpal, Alok mittal,  puneet dalmia,",Seed Funding,11.96,2015,Haryana
54,55,BeaconsTalk,Technology,Mumbai,Puneet bhatia & others,Seed Funding,0.66,2015,Maharashtra
55,56,Belita,Personal Care,Mumbai,"India quotient, Letsventure investors, Lead angels",Seed Funding,3.3,2015,Maharashtra
56,57,Bestdealfinance,Finance,Mumbai,"Kalaari capital, Yournest angel fund",Private Equity,24.75,2015,Maharashtra
57,58,BetterButter.in,Food,New Delhi,"Growx ventures, Manish singhal",Seed Funding,0.0,2015,Delhi
58,59,Bevy,Event Management,Bengaluru,Varun agarwal & others,Seed Funding,0.0,2015,Karnataka
59,60,Bewakoof,Personal Care,Mumbai,"Rohit bansal, Kunal bahl, Nikhil vora",Seed Funding,0.0,2015,Maharashtra
60,61,BiBox,E-Commerce,Bengaluru,Ravi krishnamurthy,Seed Funding,4.37,2015,Karnataka
61,62,Bidgely,Energy,Bengaluru,"Constellation technology ventures (exelon corporation), E.on, Rwe, Khosla ventures",Private Equity,136.95,2015,Karnataka
62,63,Big Basket,E-Commerce,Bengaluru,Bessemer venture partners,Private Equity,412.5,2015,Karnataka
63,64,BigStylist,Personal Care,Mumbai,Info edge,Private Equity,8.25,2015,Maharashtra
64,65,BillDesk,FinTech,Mumbai,Ta associates,Private Equity,618.75,2015,Maharashtra
65,66,Bite Club,Food,Gurugram,"Powai lake ventures, Aneesh reddy, Ashish kashyap, Alok mittal",Seed Funding,4.13,2015,Haryana
66,67,Biteclub,Food,Gurugram,Growx ventures,Private Equity,0.0,2015,Haryana
67,68,Bizongo,B2B,Mumbai,Accel partners,Seed Funding,0.0,2015,Maharashtra
68,69,Black White Orange,B2B,Mumbai,Collaborative licensing ventures llp,Seed Funding,2.5,2015,Maharashtra
69,70,Black White Orange Brands,E-Commerce,Mumbai,Youwecan ventures,Seed Funding,0.0,2015,Maharashtra
70,71,BlackBuck,Logistics,Bengaluru,"Tiger global management, Yuri milner, Apoletto, Accel partners, Flipkart",Private Equity,206.25,2015,Karnataka
71,72,Blubox,E-Commerce,Mumbai,Ashish jhalani,Seed Funding,0.83,2015,Maharashtra
72,73,Bluebirch,Technology,Bengaluru,"Chicago capital ventures, Sanjay mehta, Others",Seed Funding,16.5,2015,Karnataka
73,74,Bluegape,E-Commerce,New Delhi,"Ah! ventures, Times internet, Rudy gopalakrishnan",Seed Funding,4.95,2015,Delhi
74,75,Bluegape,E-Commerce,Gurugram,"Rudy gopalakrishnan, Ah! ventures",Seed Funding,1.65,2015,Haryana
75,76,BlueStone,E-Commerce,Bengaluru,"ivycap ventures, Accel partners, Dragoneer investment group",Private Equity,133.65,2015,Karnataka
76,77,Bobble,Technology,New Delhi,Saif partners & others,Private Equity,0.0,2015,Delhi
77,78,BolRealty,Real Estate,New Delhi,Manpreet singh,Seed Funding,0.0,2015,Delhi
78,79,Bona Vita,Travel,Gurugram,Makemytrip,Private Equity,41.25,2015,Haryana
79,80,Bonhomia,Lifestyle,New Delhi,"Kanwaljit singh, Shripad nadkarni, Sarvesh shahra & others",Seed Funding,16.5,2015,Delhi
80,81,BookEventz,Consumer Internet,Mumbai,"Mumbai angels, Singapore angel network, Zishaan hayath",Seed Funding,0.0,2015,Maharashtra
81,82,BookMeIn,Services,Mumbai,Ajmera group of companies,Seed Funding,3.3,2015,Maharashtra
82,83,BookMyBai,Services,Mumbai,Vineel nalla & others,Seed Funding,1.24,2015,Maharashtra
83,84,Bounty App,Software,Bengaluru,"Fireside ventures, Mumbai angels mape advisory group.",Seed Funding,0.0,2015,Karnataka
84,85,Box8,Delivery,Mumbai,Mayfield ventures,Private Equity,28.88,2015,Maharashtra
85,86,Boxmyspace,Logistics,Mumbai,"Ritesh veera, Singapore angel network, Orios venture partners,",Seed Funding,2.48,2015,Maharashtra
86,87,Brigge,Logistics,Chennai,The chennai angels,Seed Funding,0.0,2015,Tamil Nadu
87,88,Briston Technomach,IoT,New Delhi,Undisclosed,Seed Funding,1.24,2015,Delhi
88,89,Bro4U,Services,Bengaluru,Sargod ventures,Seed Funding,0.0,2015,Karnataka
89,90,BroEx,Real Estate,Gurugram,Lightspeed india,Private Equity,8.25,2015,Haryana
90,91,Bueno,Delivery,Gurugram,High networth individuals (no details),Seed Funding,4.95,2015,Haryana
91,92,Bumper,Delivery,Bengaluru,Saif partners,Seed Funding,4.13,2015,Karnataka
92,93,Burger Singh,Food,Gurugram,"Ashvin chadha, Avtar monga, Udaan angels, Dheeraj jain",Seed Funding,4.13,2015,Haryana
93,94,Buttercups,E-Commerce,Bengaluru,"Kanwaljit singh, Angie mahtaney, Manoj varghese",Seed Funding,0.0,2015,Karnataka
94,95,Butterfly Interactive,Entertainment,New Delhi,Undisclosed investors,Seed Funding,0.0,2015,Delhi
95,96,BuyHatke,E-Commerce,Bengaluru,"S.gopalakrishnan, Beenos",Seed Funding,8.25,2015,Karnataka
96,97,Cabsguru,Transportation,New Delhi,Prashanth ranganathan,Seed Funding,1.65,2015,Delhi
97,98,CAKART.in,EdTech,Bengaluru,Sunil maheshwari & group of investors,Seed Funding,0.0,2015,Karnataka
98,99,CanvasFlip,Design,Hyderabad,Bessemer venture partners,Seed Funding,9.9,2015,Telangana
99,100,Canvera,Consumer Internet,Bengaluru,Info edge (india) ltd,Private Equity,18.15,2015,Karnataka
100,101,Capabiliti,Education,Noida,"500 startups, Smile multimedia, Kunal bahl, Rohit bansal, Girish matrubootham",Seed Funding,3.3,2015,Uttar Pradesh
101,102,Capillary Tech,Cloud Tech,New Delhi,"Warburg pincus, Sequoia capital, Norwest venture partners",Private Equity,371.25,2015,Delhi
102,103,Capital Float,Finance,Bengaluru,"Saif partners, Sequoia capital, Aspada",Private Equity,107.25,2015,Karnataka
103,104,Capricoast,Travel,Bengaluru,"Accel partners india, Rb investments",Private Equity,28.88,2015,Karnataka
104,105,Capricoast,Travel,Bengaluru,Accel partners india,Seed Funding,10.31,2015,Karnataka
105,106,Caratlane,Personal Care,Chennai,Tiger global,Private Equity,255.75,2015,Tamil Nadu
106,107,Caravan Craft,Households,Bengaluru,"Unitus seed fund, Bijou kurien, Narayan ramachandran",Private Equity,9.9,2015,Karnataka
107,108,Caravan Craft,Households,Bengaluru,"Unitus seed fund\\nnarayan ramachandran, Bijou kurien",Seed Funding,4.13,2015,Karnataka
108,109,CarDekho,Automotive,Jaipur,"Hillhouse capital, Tybourne capital",Private Equity,412.5,2015,Rajasthan
109,110,CarDekho,Automotive,Jaipur,Hdfc bank,Private Equity,0.0,2015,Rajasthan
110,111,Care24,Healthcare,Mumbai,India quotient,Seed Funding,2.89,2015,Maharashtra
111,112,Carl's Jr,Personal Care,Gurugram,Youwecan ventures,Seed Funding,5.2,2015,Haryana
112,113,CaRPM,Transportation,Gurugram,Ghv accelerator,Seed Funding,0.83,2015,Haryana
113,114,Cartisan,Delivery,Bengaluru,"Youwecan ventures,  aprameya radhakrishna",Seed Funding,0.0,2015,Karnataka
114,115,CarTrade,Automotive,Mumbai,Chip perry,Private Equity,0.0,2015,Maharashtra
115,116,Casa2inns,Hospitality,New Delhi,"Accel partners, Kalaari capital",Private Equity,41.25,2015,Delhi
116,117,CashKaro,FinTech,Gurugram,Kalaari capital,Private Equity,30.53,2015,Haryana
117,118,CBREX,Services,Mumbai,"Prahlad rao, Sundara rajan, Vikram chachra",Seed Funding,1.65,2015,Maharashtra
118,119,CBS,Media,Mumbai,Hyderabad angels (at startup heroes event),Seed Funding,0.13,2015,Maharashtra
119,120,Chaayos,Food,New Delhi,Tiger global management,Private Equity,8.25,2015,Delhi
120,121,Chai Point,Food,Bengaluru,Eight roads ventures,Private Equity,82.5,2015,Karnataka
121,122,Changer Mints,Food,Kolkata,Hyderabad based investor,Seed Funding,1.36,2015,West Bengal
122,123,ChargeBee,FinTech,Chennai,"Tiger global, Accel partners",Private Equity,41.25,2015,Tamil Nadu
123,124,Chargein,FinTech,Bengaluru,Pittie group,Seed Funding,0.83,2015,Karnataka
124,125,Chefs Basket,Food,Mumbai,"Saif partners, Haresh chawla",Private Equity,49.5,2015,Maharashtra
125,126,Chillr,FinTech,Mumbai,"Sequoia capital, Blume ventures, Uniqorn ventures and other",Private Equity,577.5,2015,Maharashtra
126,127,Chillr,FinTech,Mumbai,Sequoia capital,Private Equity,49.5,2015,Maharashtra
127,128,Chloroplast Foods,Food,Mumbai,Group of angel investors,Seed Funding,0.14,2015,Maharashtra
128,129,CimplyFive,Technology,Bengaluru,"Suresh senapaty, Tv mohandas pai",Seed Funding,0.0,2015,Karnataka
129,130,Citrus Payment,FinTech,Mumbai,"Sequoia capital, Ascent capital, Econtext asia, Beenos asia",Private Equity,206.25,2015,Maharashtra
130,131,CityFlo,Transportation,Mumbai,Idg ventures,Seed Funding,6.19,2015,Maharashtra
131,132,CityFurnish,Households,Gurugram,Jitendra gupta,Seed Funding,0.0,2015,Haryana
132,133,Clapsnslaps,Media,Mumbai,R m picture company pvt. ltd.,Seed Funding,1.24,2015,Maharashtra
133,134,ClearTax,FinTech,New Delhi,Paytm (one97 communications),Private Equity,0.0,2015,Delhi
134,135,CleverSharks,Technology,Bengaluru,Group of angel investors,Seed Funding,0.14,2015,Karnataka
135,136,Clonect Solutions,Technology,Bengaluru,"V balakrishnan, T v mohandas pai, Bc prabhakar",Seed Funding,2.06,2015,Karnataka
136,137,Cloud Lending,FinTech,Bengaluru,Sf capital group,Private Equity,66.0,2015,Karnataka
137,138,CloudCherry,Cloud Tech,Chennai,"The chennai angels, Idg ventures india",Seed Funding,8.25,2015,Tamil Nadu
138,139,Clovia,Personal Care,New Delhi,Ivycap ventures,Private Equity,41.25,2015,Delhi
139,140,CollateBox,E-Commerce,Pune,Letsventure,Seed Funding,1.49,2015,Maharashtra
140,141,Collectabillia,E-Commerce,Bengaluru,Accel partners,Private Equity,61.88,2015,Karnataka
141,142,CollegeDekho,EdTech,Jaipur,Girnarsoft,Seed Funding,8.25,2015,Rajasthan
142,143,Commeasure,Data Analytics,Noida,Jungle ventures,Seed Funding,8.25,2015,Uttar Pradesh
143,144,Commonfloor,Real Estate,Bengaluru,Google capital,Private Equity,41.25,2015,Karnataka
144,145,ConfirmtTkt,Travel,Bengaluru,Pravin agarwala & others,Seed Funding,0.0,2015,Karnataka
145,146,Connect India,Logistics,New Delhi,Aavishkaar,Private Equity,41.25,2015,Delhi
146,147,ConnectAbank,Finance,Mumbai,Prakhar bumb,Seed Funding,0.0,2015,Maharashtra
147,148,Convegenius,Internet,Noida,Enablers platform,Seed Funding,2.48,2015,Uttar Pradesh
148,149,Cooey,Healthcare,Bengaluru,Subhash goyal,Seed Funding,3.88,2015,Karnataka
149,150,Coolshare,Transportation,Mumbai,Gopal aggarwal,Seed Funding,0.83,2015,Maharashtra
150,151,Corporate360,Data Analytics,Kochi,Group of angel investors,Seed Funding,1.65,2015,Kerala
151,152,couponmachine.in,Finance,New Delhi,Uk based group of angel investors,Seed Funding,1.16,2015,Delhi
152,153,CouponRaja,Finance,Mumbai,"Mahesh pratapneni, Pallab chatterjee & others",Seed Funding,4.13,2015,Maharashtra
153,154,CoverFox,FinTech,Mumbai,"Accel us, Accel india, Saif partners.",Private Equity,99.0,2015,Maharashtra
154,155,CoverFox,FinTech,Mumbai,Cataraman ventures,Private Equity,16.5,2015,Maharashtra
155,156,Craftstvilla,E-Commerce,Mumbai,"Sequoia capital, Nexus venture partners, Lightspeed ventures, Gfc",Private Equity,148.5,2015,Maharashtra
156,157,CraftsVilla,E-Commerce,Mumbai,"Sequoia india, Lightspeed venture partners, Nexus venture partners, Global founders capital, Apoletto",Private Equity,280.5,2015,Maharashtra
157,158,Crayon Data,Data Analytics,Chennai,Ratan tata,Private Equity,0.0,2015,Tamil Nadu
158,159,CrediHealth,Healthcare,Gurugram,Rajat malhotra,Seed Funding,0.0,2015,Haryana
159,160,Credit Mantri,FinTech,Chennai,"Idg ventures india, Elevar equity, Accion venture lab",Private Equity,20.63,2015,Tamil Nadu
160,161,CredR,Automotive,Mumbai,Eight road ventures,Private Equity,123.75,2015,Maharashtra
161,162,CredR,Automotive,Mumbai,Growthstory,Seed Funding,0.0,2015,Maharashtra
162,163,Crowdfire (formerly Justunfollow),Marketing,Mumbai,Kalaari capital,Private Equity,20.63,2015,Maharashtra
163,164,CrownIt,Services,Gurugram,"Accel partners, Helion venture partners",Private Equity,45.38,2015,Haryana
164,165,Cube26,Technology,New Delhi,"Tiger global management, Flipkart",Private Equity,63.53,2015,Delhi
165,166,Cubito,E-Commerce,Bengaluru,Sol primero,Seed Funding,1.32,2015,Karnataka
166,167,Cuelearn,EdTech,New Delhi,Alok mittal,Seed Funding,0.0,2015,Delhi
167,168,Culture Machine,Entertainment,Mumbai,"Tiger global, Times internet, Zodius capital",Private Equity,148.5,2015,Maharashtra
168,169,CultureAlley,Education,Jaipur,Tiger global,Private Equity,53.63,2015,Rajasthan
169,170,Cupick,Technology,Bengaluru,Group of angel investors from us/india,Seed Funding,0.99,2015,Karnataka
170,171,CureJoy,Healthcare,Bengaluru,"Accel partners, Subrata mitra, Larry braitman, Venk krishna",Private Equity,9.49,2015,Karnataka
171,172,Curofy,Healthcare,New Delhi,Roundglass partners,Private Equity,0.0,2015,Delhi
172,173,Customer360,Data Analytics,Mumbai,Vishwas patel,Seed Funding,0.0,2015,Maharashtra
173,174,CustomFurnish,Households,Hyderabad,Agnus capital,Private Equity,37.13,2015,Telangana
174,175,CustomFurnish,Households,Hyderabad,"Madhukar gangadi, Satish reddy, Srini raju, Srini koppolu & sidbi",Private Equity,20.63,2015,Telangana
175,176,Daily Rounds,Healthcare,Bengaluru,"Kae capital, Gsf, Teruhide sato",Seed Funding,4.13,2015,Karnataka
176,177,DailyNinja,E-Commerce,Bengaluru,"Aprameya radhakrishna, Naman sarawagi, Afsal salu,",Seed Funding,0.0,2015,Karnataka
177,178,Dazo,Food,Bengaluru,"Sumit jain, Aprameya radhakrishna, Alok goel, Rajan anandan, Amit agrawal, Vinay goel, Gaurav munjal, Ashish dev kapur",Seed Funding,0.0,2015,Karnataka
178,179,Dealwithus,E-Commerce,Gurugram,Group of angel investors,Seed Funding,0.14,2015,Haryana
179,180,deGustibus,Food,Mumbai,India value fund advisors,Private Equity,247.5,2015,Maharashtra
180,181,Delight Foods,Food,Bengaluru,"Lensbridge capital, Mape advisory group, Fireside ventures",Private Equity,4.95,2015,Karnataka
181,182,Deyor Rooms,Consumer Internet,Gurugram,Dheeraj jain & others,Seed Funding,4.13,2015,Haryana
182,183,DiabetOmics,Healthcare,Hyderabad,"Ventureeast,  varaprasad reddy",Private Equity,41.25,2015,Telangana
183,184,Didi,Transportation,Mumbai,"Jozef bardik, Leo wang sangeeth ram",Seed Funding,1.24,2015,Maharashtra
184,185,Digital Gorkha,Media,Bengaluru,Ramesh kavediya,Seed Funding,1.37,2015,Karnataka
185,186,DishCo,Food,Mumbai,"Anand mahindra, Uday punj, Ashish hemrajani, Sanjeev mehra",Seed Funding,0.0,2015,Maharashtra
186,187,Djubo,Cloud Tech,New Delhi,Ibibo group,Private Equity,0.0,2015,Delhi
187,188,DocPlexus,Healthcare,Pune,"Uniqorn ventures, Asp consulting",Seed Funding,5.78,2015,Maharashtra
188,189,Doctor Insta,Healthcare,Gurugram,"Rishi parti, Brahmax ventures",Private Equity,4.13,2015,Haryana
189,190,Doormint,Services,Mumbai,"Helion venture partners, Kalaari capital",Private Equity,24.75,2015,Maharashtra
190,191,Doormint,Services,Mumbai,Powai lake ventures,Seed Funding,0.0,2015,Maharashtra
191,192,Drivestream,Technology,Bengaluru,Wipro,Private Equity,41.25,2015,Karnataka
192,193,Droom,E-Commerce,Gurugram,"Lightbox ventures, Beenos",Private Equity,132.0,2015,Haryana
193,194,DropKaffe,Food,Bengaluru,"Manish singhal, P39 capital & others",Seed Funding,2.48,2015,Karnataka
194,195,EarlySalary,FinTech,Pune,Ashok agarwal,Seed Funding,12.38,2015,Maharashtra
195,196,EasyFix,Services,Gurugram,Axilor ventures,Seed Funding,0.0,2015,Haryana
196,197,EasyKhaana,Delivery,New Delhi,Undisclosed investors,Seed Funding,0.83,2015,Delhi
197,198,EasyRewardz,FinTech,Mumbai,"Wealth first, Ashneer grover, Atul phadnis",Private Equity,4.13,2015,Maharashtra
198,199,Eat.Shop.Love,Personal Care,Bengaluru,Undisclosed investor,Private Equity,28.88,2015,Karnataka
199,200,Eatfresh,Food,Bengaluru,Kalaari capital,Private Equity,0.0,2015,Karnataka
200,201,Eatlo,Delivery,Bengaluru,"Powai lake ventures, Globeinvestor, Abhishekh goyal",Seed Funding,0.0,2015,Karnataka
201,202,Eattreatonline,Food,New Delhi,Group of 15 angel investors,Seed Funding,2.89,2015,Delhi
202,203,Eazy Coach,Education,Kolkata,Ravi agarwal,Seed Funding,0.0,2015,West Bengal
203,204,EazyDiner,Consumer Internet,Gurugram,"Dsg consumer partners, Saama capital",Private Equity,24.75,2015,Haryana
204,205,EazyDiner,Consumer Internet,New Delhi,"Deepak shahdadpuri, Gulpreet kohli",Seed Funding,0.0,2015,Delhi
205,206,Eckovation,Technology,New Delhi,Chandigarh angel network (can),Seed Funding,0.0,2015,Delhi
206,207,Ecom Express,Logistics,New Delhi,Warburg pincus,Private Equity,1130.25,2015,Delhi
207,208,Edu4Share,Education,New Delhi,Nalin jain & other angel investors,Seed Funding,1.82,2015,Delhi
208,209,EduKart,EdTech,New Delhi,"Holostik group, Youwecan ventures, 500 startups, Vijay shekhar sharma, Manish kheterpal, Amit patni",Private Equity,8.25,2015,Delhi
209,210,eKincare,Healthcare,Hyderabad,Adroitent pvt. ltd.,Seed Funding,1.33,2015,Telangana
210,211,Elanic,E-Commerce,Bengaluru,"Rebright partners, Tracxn labs, Aneesh reddy",Seed Funding,0.0,2015,Karnataka
211,212,elong,Data Analytics,Bengaluru,"Kunal bahl, Rohit bansal, Blume ventures, Phanindra sama, Raju reddy",Private Equity,41.25,2015,Karnataka
212,213,Enabli,Technology,Bengaluru,Hyderabad angels (at startup heroes event),Seed Funding,0.13,2015,Karnataka
213,214,Englishleap,Education,Gurugram,Analec,Private Equity,0.0,2015,Haryana
214,215,Entropy Innovations,Technology,Mumbai,Mark mobius & 9 other angel investors,Seed Funding,0.0,2015,Maharashtra
215,216,Envoged,Personal Care,Mumbai,"Ankush nijhawan, Manish dhingra, Gaurav bhatnagar",Seed Funding,0.0,2015,Maharashtra
216,217,ePoise,Technology,Bengaluru,"Orios venture partners, Amit ranjan & others",Seed Funding,4.13,2015,Karnataka
217,218,ePoise,Technology,Bengaluru,Undisclosed,Seed Funding,0.0,2015,Karnataka
218,219,eSadar,E-Commerce,New Delhi,"Neha vats, Gaurav vats",Seed Funding,0.66,2015,Delhi
219,220,etaout,E-Commerce,Noida,"Amit ranjan, Vijay shekhar sharma, Kunal bahl, Girish mathrubootham & group of other angel investors",Seed Funding,4.13,2015,Uttar Pradesh
220,221,EureQa,Technology,Hyderabad,"Sashi reddi, Gabriel investments",Seed Funding,4.95,2015,Telangana
221,222,EveningFlavors,Food,Bengaluru,Sandiep shrivatsava,Seed Funding,4.13,2015,Karnataka
222,223,Explara,Event Management,Pune,"Hyderabad angels, Singapore angel network, Ness wadia",Private Equity,4.04,2015,Maharashtra
223,224,Eywa Media,Media,Bengaluru,"Ah! ventures, Viktor koenig pe fund, Mantra ventures",Seed Funding,8.25,2015,Karnataka
224,225,Ezetap,FinTech,Bengaluru,"Horizons ventures, Capricorn investment group, Social+capital, Helion advisors, Berggruen holdings",Private Equity,206.25,2015,Karnataka
225,226,EzySolare,Technology,Ahmedabad,Infuse ventures,Seed Funding,0.0,2015,Gujarat
226,227,Faasos,Food,Pune,"Ru-net, Sequoia capital,  lightbox ventures",Private Equity,247.5,2015,Maharashtra
227,228,Faasos,Food,Pune,Lightbox ventures,Private Equity,165.0,2015,Maharashtra
228,229,Faaya,Personal Care,New Delhi,Group of angel investors,Seed Funding,0.14,2015,Delhi
229,230,Faircent,FinTech,Gurugram,M&s partners pte. ltd,Seed Funding,2.06,2015,Haryana
230,231,Faircent,FinTech,Gurugram,Aarin capital partners,Private Equity,0.0,2015,Haryana
231,232,Fashionove,Personal Care,Kolkata,Umesh yadav,Seed Funding,0.0,2015,West Bengal
232,233,Fastudent,Education,Noida,Ashish gupta,Seed Funding,0.0,2015,Uttar Pradesh
233,234,FindYahan,Services,Gurugram,"Karan bajwa, Parvesh bareja, Sunjay kapur, Amanpreet bajaj",Seed Funding,0.0,2015,Haryana
234,235,Fintellix,Banking,Bengaluru,"Idg ventures, Sequoia capital",Private Equity,123.75,2015,Karnataka
235,236,FirstCry,E-Commerce,Pune,Valiant capital partners,Private Equity,214.5,2015,Maharashtra
236,237,FirstCry,E-Commerce,Pune,"Silicon valley ventures, Nea ventures, Valiant capital, Idg ventures india,  saif partners, Vertex ventures",Private Equity,82.5,2015,Maharashtra
237,238,FirstTouch,Technology,Gurugram,"Kunal bahl, Rohit bansal, Pranay chulet, Naveen tiwari, Amit gupta, Mayank singhal",Seed Funding,0.0,2015,Haryana
238,239,Fitcircle,Healthcare,Mumbai,Beerud sheth and ravi mantha,Seed Funding,0.0,2015,Maharashtra
239,240,FitMeIn,Consumer Internet,New Delhi,Green house ventures,Seed Funding,0.83,2015,Delhi
